"Date","Price","Open","High","Low","Vol.","Change %"
"14-03-2025","70.99","70.42","71.75","69.37","25.08K","0.55%"
"13-03-2025","70.60","69.36","71.82","68.54","37.73K","1.41%"
"12-03-2025","69.62","67.69","69.81","67.27","27.44K","2.02%"
"11-03-2025","68.24","68.76","69.71","67.42","30.83K","-1.12%"
"10-03-2025","69.01","68.45","70.28","67.65","37.58K","0.55%"
"07-03-2025","68.63","67.30","69.45","66.78","41.02K","1.95%"
"06-03-2025","67.32","68.26","69.12","66.84","42.51K","-2.14%"
"05-03-2025","68.79","68.21","69.55","68.07","40.17K","0.42%"
"04-03-2025","68.50","71.40","71.66","67.70","53.99K","-4.26%"
"03-03-2025","71.55","71.80","72.87","71.28","26.46K","0.77%"